CD_SETOR,NM_MUN,CD_DIST,NM_DIST,lat,lon
355030802000133,São Paulo,355030802,Alto de Pinheiros,-23.545856036675,-46.693192864491756
355030802000134,São Paulo,355030802,Alto de Pinheiros,-23.545245704850455,-46.69311337073083
355030802000135,São Paulo,355030802,Alto de Pinheiros,-23.546201505316105,-46.6941132371447
355030802000136,São Paulo,355030802,Alto de Pinheiros,-23.545980229725576,-46.69384820825986
355030802000137,São Paulo,355030802,Alto de Pinheiros,-23.55344858101169,-46.69705463735429
355030802000138,São Paulo,355030802,Alto de Pinheiros,-23.554365625566152,-46.69727518790854
355030802000139,São Paulo,355030802,Alto de Pinheiros,-23.555865522022636,-46.69800033463086
355030802000140,São Paulo,355030802,Alto de Pinheiros,-23.558829481339693,-46.70145128092857
355030802000141,São Paulo,355030802,Alto de Pinheiros,-23.56116745011405,-46.70414511087908
355030802000142,São Paulo,355030802,Alto de Pinheiros,-23.539062871502153,-46.72521707350312
355030802000143,São Paulo,355030802,Alto de Pinheiros,-23.541567105581517,-46.725978809641795
355030802000144,São Paulo,355030802,Alto de Pinheiros,-23.537976065249005,-46.71759304845817
355030802000145,São Paulo,355030802,Alto de Pinheiros,-23.538463155624882,-46.71622063539874
355030802000146,São Paulo,355030802,Alto de Pinheiros,-23.53705946764285,-46.71634098398051
355030802000147,São Paulo,355030802,Alto de Pinheiros,-23.536783708042442,-46.716549967300146
355030802000148,São Paulo,355030802,Alto de Pinheiros,-23.53640178817168,-46.71519252295836
355030802000149,São Paulo,355030802,Alto de Pinheiros,-23.53630657379238,-46.71656048197614
355030802000150,São Paulo,355030802,Alto de Pinheiros,-23.54851794898238,-46.696034484534685
355030802000151,São Paulo,355030802,Alto de Pinheiros,-23.550027780967785,-46.69667730793723
355030802000152,São Paulo,355030802,Alto de Pinheiros,-23.540198533791912,-46.717450401917205
355030802000153,São Paulo,355030802,Alto de Pinheiros,-23.53987687444405,-46.71768273930354
355030802000154,São Paulo,355030802,Alto de Pinheiros,-23.544098414226692,-46.717279039584064
355030802000155,São Paulo,355030802,Alto de Pinheiros,-23.54422143757745,-46.71649750239535
355030802000156,São Paulo,355030802,Alto de Pinheiros,-23.54325405428506,-46.71730049979248
355030802000157,São Paulo,355030802,Alto de Pinheiros,-23.54325984794193,-46.71621236120406
355030802000158,São Paulo,355030802,Alto de Pinheiros,-23.54261955820782,-46.71747370681256
355030802000159,São Paulo,355030802,Alto de Pinheiros,-23.542336570950873,-46.71656588291332
355030802000160,São Paulo,355030802,Alto de Pinheiros,-23.542230095803514,-46.71790140841712
355030802000161,São Paulo,355030802,Alto de Pinheiros,-23.541270789819656,-46.7171713309243
355030802000162,São Paulo,355030802,Alto de Pinheiros,-23.54129682916905,-46.718020648173635
355030802000163,São Paulo,355030802,Alto de Pinheiros,-23.54169081065867,-46.71718644232347
355030802000164,São Paulo,355030802,Alto de Pinheiros,-23.541428276624448,-46.71441191989421
355030802000165,São Paulo,355030802,Alto de Pinheiros,-23.541434273423846,-46.71532594636721
355030802000166,São Paulo,355030802,Alto de Pinheiros,-23.542088628804787,-46.71510779589929
355030802000167,São Paulo,355030802,Alto de Pinheiros,-23.542408273037402,-46.71575593376112
355030802000168,São Paulo,355030802,Alto de Pinheiros,-23.552244653385667,-46.71977793812756
355030802000169,São Paulo,355030802,Alto de Pinheiros,-23.55207733505738,-46.72071551651429
355030802000170,São Paulo,355030802,Alto de Pinheiros,-23.551297079906373,-46.72022784791634
355030802000171,São Paulo,355030802,Alto de Pinheiros,-23.53853183148907,-46.713339882801925
355030802000172,São Paulo,355030802,Alto de Pinheiros,-23.53739441548601,-46.713299004061156
355030802000173,São Paulo,355030802,Alto de Pinheiros,-23.54366641314201,-46.69759494077146
355030802000174,São Paulo,355030802,Alto de Pinheiros,-23.542679581812926,-46.69616550213257
355030802000175,São Paulo,355030802,Alto de Pinheiros,-23.542851016028262,-46.70324909009392
355030802000176,São Paulo,355030802,Alto de Pinheiros,-23.551467198306003,-46.69814159813309
355030802000177,São Paulo,355030802,Alto de Pinheiros,-23.55047582110455,-46.72103534295387
355030802000178,São Paulo,355030802,Alto de Pinheiros,-23.54014171407326,-46.71578467081671
355030802000179,São Paulo,355030802,Alto de Pinheiros,-23.540518679139733,-46.7157362874167
355030802000180,São Paulo,355030802,Alto de Pinheiros,-23.54059075453242,-46.71664876240459
355030803000005,São Paulo,355030803,Anhanguera,-23.442681517176524,-46.79089074597025
355030803000013,São Paulo,355030803,Anhanguera,-23.434606418842897,-46.789523780595204
355030803000016,São Paulo,355030803,Anhanguera,-23.431667538738775,-46.79298627386992
355030803000020,São Paulo,355030803,Anhanguera,-23.451564665839285,-46.789956754159746
355030803000022,São Paulo,355030803,Anhanguera,-23.439663815297646,-46.791098730441945
355030803000023,São Paulo,355030803,Anhanguera,-23.433842133055972,-46.789837952584904
355030803000028,São Paulo,355030803,Anhanguera,-23.438088790101197,-46.77386444542384
355030803000029,São Paulo,355030803,Anhanguera,-23.448502927704872,-46.79679645710336
355030803000031,São Paulo,355030803,Anhanguera,-23.44539718936006,-46.7982978512893
355030803000051,São Paulo,355030803,Anhanguera,-23.445936047852996,-46.793751195384694
355030803000052,São Paulo,355030803,Anhanguera,-23.4419010742974,-46.791688226883686
355030803000053,São Paulo,355030803,Anhanguera,-23.443826970703483,-46.798334485903936
355030803000058,São Paulo,355030803,Anhanguera,-23.416065406317113,-46.80678076306895
355030803000066,São Paulo,355030803,Anhanguera,-23.41882266114553,-46.80459246931617
355030803000073,São Paulo,355030803,Anhanguera,-23.42822011766451,-46.766503058708864
355030803000074,São Paulo,355030803,Anhanguera,-23.428783317234036,-46.77862080543227
